"muni_code","top","top_noeta","top_vio","top_nonvio","top_asocprop"
"01002",1,1,0,1,0
"01003",2,2,0,2,2
"01009",2,2,0,2,2
"01018",1,1,0,1,0
"01036",5,5,0,5,4
"01051",3,1,0,3,3
"01054",1,1,0,1,1
"01058",1,1,0,1,0
"01059",94,64,10,84,62
"02003",13,13,2,11,10
"02011",1,1,1,0,0
"02033",1,1,0,1,1
"02037",2,2,0,2,2
"02086",2,2,0,2,2
"03009",15,15,0,15,15
"03011",2,2,0,2,2
"03014",30,30,7,23,12
"03017",2,2,0,2,2
"03018",1,1,0,1,1
"03031",1,1,1,0,0
"03048",1,1,0,1,1
"03049",3,3,0,3,1
"03056",4,4,0,4,4
"03065",12,12,4,8,7
"03066",10,10,1,9,4
"03071",1,1,0,1,0
"03079",1,1,0,1,1
"03089",1,1,1,0,0
"03092",5,5,0,5,5
"03099",4,4,2,2,2
"03104",2,2,0,2,2
"03111",1,1,1,0,0
"03119",1,1,0,1,0
"03139",1,1,1,0,0
"04011",1,1,0,1,0
"04013",12,12,6,6,4
"04050",1,1,1,0,0
"04057",1,1,0,1,0
"04062",2,2,0,2,2
"05082",6,6,6,0,0
"05114",1,1,0,1,0
"05168",1,1,0,1,1
"06002",1,1,0,1,0
"06006",2,2,0,2,1
"06015",12,12,0,12,1
"06019",1,1,0,1,0
"06023",1,1,0,1,0
"06025",3,3,0,3,3
"06044",4,4,0,4,4
"06050",1,1,0,1,0
"06052",1,1,0,1,0
"06058",1,1,0,1,0
"06088",2,2,0,2,0
"06097",1,1,1,0,0
"06108",1,1,0,1,0
"06120",1,1,0,1,1
"06121",1,1,0,1,1
"06147",1,1,0,1,0
"07026",2,2,0,2,0
"07027",1,1,0,1,1
"07033",1,1,1,0,0
"07040",42,42,16,26,18
"07042",1,1,0,1,0
"08005",1,1,0,1,1
"08007",1,1,0,1,0
"08009",1,1,0,1,1
"08015",48,48,8,40,17
"08019",987,987,113,874,449
"08035",2,2,0,2,0
"08038",1,1,0,1,1
"08040",2,2,2,0,0
"08041",3,3,0,3,3
"08051",1,1,0,1,0
"08056",1,1,1,0,0
"08067",2,2,0,2,0
"08073",22,22,1,21,8
"08077",8,8,2,6,3
"08086",1,1,0,1,1
"08087",2,2,0,2,1
"08089",10,10,5,5,2
"08096",6,6,0,6,4
"08101",73,73,18,55,23
"08102",3,3,2,1,0
"08105",2,2,1,1,1
"08110",1,1,0,1,0
"08113",6,6,1,5,4
"08121",53,53,3,50,25
"08123",5,5,0,5,4
"08124",3,3,0,3,3
"08125",6,6,0,6,4
"08138",1,1,0,1,1
"08143",1,1,0,1,0
"08147",1,1,0,1,0
"08155",1,1,0,1,0
"08167",1,1,0,1,1
"08169",1,1,1,0,0
"08180",14,14,2,12,9
"08184",10,10,1,9,4
"08187",140,140,11,129,55
"08191",7,7,0,7,0
"08194",15,15,5,10,3
"08196",1,1,0,1,1
"08200",12,12,5,7,3
"08205",1,1,0,1,0
"08211",3,3,0,3,1
"08217",2,2,0,2,0
"08238",2,2,0,2,0
"08245",27,27,0,27,15
"08252",1,1,0,1,0
"08259",1,1,0,1,1
"08260",2,2,1,1,0
"08263",1,1,0,1,0
"08266",15,15,1,14,7
"08270",1,1,1,0,0
"08274",1,1,0,1,0
"08279",95,95,6,89,43
"08283",1,1,0,1,0
"08285",1,1,0,1,1
"08297",1,1,0,1,1
"08298",9,9,1,8,6
"08301",7,7,1,6,2
"08305",1,1,0,1,0
"08307",8,8,3,5,4
"09018",2,2,0,2,2
"09059",8,8,0,8,5
"09209",1,1,0,1,0
"09219",6,6,1,5,0
"09442",1,1,0,1,0
"10035",1,1,0,1,0
"10037",6,6,4,2,2
"10056",1,1,0,1,0
"10096",1,1,0,1,0
"10114",1,1,0,1,0
"10123",1,1,1,0,0
"10148",4,4,2,2,0
"10198",1,1,0,1,0
"11004",10,10,0,10,7
"11006",1,1,0,1,0
"11008",1,1,0,1,1
"11012",16,16,6,10,2
"11015",3,3,0,3,0
"11016",3,3,0,3,0
"11017",2,2,0,2,0
"11020",24,24,0,24,17
"11022",1,1,0,1,1
"11027",35,35,0,35,32
"11031",4,4,0,4,4
"11032",8,8,0,8,7
"11037",4,4,0,4,4
"12007",2,2,0,2,2
"12040",7,7,2,5,0
"12053",1,1,0,1,0
"12126",7,7,0,7,0
"12130",1,1,0,1,0
"12135",1,1,0,1,1
"13005",1,1,0,1,1
"13015",2,2,0,2,2
"13020",1,1,0,1,0
"13032",1,1,0,1,1
"13034",2,2,0,2,0
"13039",1,1,0,1,1
"13044",1,1,0,1,1
"13052",1,1,0,1,0
"13063",1,1,1,0,0
"13071",35,35,0,35,30
"13079",1,1,0,1,0
"13082",1,1,1,0,0
"13087",1,1,0,1,1
"14001",1,1,0,1,1
"14007",1,1,0,1,0
"14013",1,1,0,1,0
"14015",2,2,0,2,1
"14021",39,39,1,38,19
"14030",2,2,0,2,2
"14036",1,1,0,1,1
"14038",1,1,0,1,0
"14042",2,2,0,2,1
"14049",2,2,0,2,2
"14052",2,2,1,1,0
"14053",16,16,0,16,14
"14055",1,1,0,1,1
"15004",2,2,0,2,0
"15005",1,1,0,1,0
"15007",1,1,1,0,0
"15012",1,1,0,1,0
"15017",1,1,0,1,1
"15019",1,1,1,0,0
"15030",54,54,8,46,39
"15031",1,1,0,1,1
"15035",2,2,0,2,1
"15036",53,53,6,47,19
"15041",2,2,2,0,0
"15042",1,1,0,1,1
"15051",5,5,0,5,3
"15053",2,2,2,0,0
"15054",2,2,0,2,1
"15059",1,1,0,1,0
"15060",1,1,0,1,0
"15065",1,1,1,0,0
"15069",1,1,1,0,0
"15078",35,35,2,33,16
"15088",2,2,0,2,0
"16003",1,1,0,1,0
"16042",1,1,0,1,1
"16078",3,3,0,3,2
"16198",1,1,0,1,0
"16251",1,1,0,1,0
"17008",2,2,0,2,2
"17015",1,1,0,1,1
"17022",3,3,0,3,3
"17023",7,7,0,7,5
"17033",1,1,0,1,1
"17034",1,1,0,1,1
"17044",3,3,3,0,0
"17066",2,2,0,2,2
"17073",1,1,0,1,1
"17079",24,24,6,18,16
"17095",2,2,0,2,2
"17114",1,1,0,1,1
"17117",1,1,0,1,1
"17120",1,1,0,1,1
"17141",2,2,0,2,2
"17145",3,3,0,3,0
"17160",3,3,0,3,3
"17169",1,1,0,1,1
"17202",1,1,0,1,0
"17901",1,1,0,1,1
"18003",4,4,0,4,4
"18022",1,1,0,1,1
"18023",2,2,2,0,0
"18039",1,1,1,0,0
"18053",1,1,0,1,0
"18069",1,1,1,0,0
"18087",55,55,8,47,25
"18089",1,1,0,1,0
"18100",5,5,0,5,3
"18102",1,1,0,1,0
"18103",1,1,1,0,0
"18105",3,3,0,3,3
"18108",1,1,0,1,1
"18127",4,4,0,4,4
"18140",8,8,0,8,7
"18150",1,1,0,1,0
"18158",4,4,0,4,4
"18159",1,1,0,1,1
"18167",1,1,0,1,1
"18194",1,1,1,0,0
"19130",5,5,0,5,1
"19255",1,1,0,1,1
"20005",3,3,0,3,1
"20008",10,10,0,10,1
"20009",27,14,5,22,16
"20011",1,0,0,1,1
"20012",1,1,0,1,0
"20013",1,1,0,1,0
"20014",1,1,0,1,0
"20015",4,3,0,4,2
"20017",2,1,0,2,2
"20018",5,3,0,5,5
"20019",9,7,1,8,3
"20020",1,1,0,1,0
"20022",2,2,0,2,0
"20025",3,3,0,3,3
"20027",1,1,0,1,1
"20028",3,3,0,3,1
"20029",1,1,0,1,0
"20030",78,59,6,72,43
"20032",5,4,0,5,4
"20035",1,1,0,1,0
"20036",3,2,0,3,1
"20037",1,1,0,1,0
"20040",32,24,2,30,23
"20041",1,1,0,1,0
"20043",1,1,0,1,0
"20044",1,1,0,1,0
"20045",7,4,0,7,6
"20047",3,3,0,3,2
"20049",11,5,1,10,9
"20050",4,4,0,4,0
"20051",6,5,4,2,0
"20052",6,6,0,6,1
"20053",6,3,2,4,3
"20055",44,19,2,42,31
"20056",1,1,0,1,1
"20059",22,20,0,22,20
"20061",1,1,0,1,1
"20062",5,0,0,5,5
"20063",13,7,0,13,10
"20064",15,14,1,14,4
"20065",1,1,1,0,0
"20066",1,1,0,1,0
"20067",42,30,3,39,28
"20069",210,167,11,199,146
"20070",1,1,0,1,1
"20071",23,15,1,22,18
"20072",2,2,0,2,1
"20073",1,1,1,0,0
"20074",5,3,0,5,3
"20075",11,10,1,10,3
"20076",24,13,4,20,12
"20077",17,17,2,15,11
"20078",9,9,0,9,7
"20079",25,13,3,22,16
"20080",18,16,2,16,13
"20081",7,2,1,6,6
"21038",1,1,0,1,0
"21041",6,6,1,5,1
"21049",1,1,0,1,0
"21064",1,1,0,1,1
"21068",1,1,0,1,0
"22125",1,1,0,1,1
"22158",1,1,1,0,0
"23002",2,2,0,2,2
"23005",3,3,0,3,3
"23009",2,2,0,2,2
"23012",1,1,0,1,1
"23024",2,2,0,2,1
"23050",17,17,2,15,9
"23052",2,2,0,2,0
"23053",1,1,0,1,0
"23055",12,12,2,10,7
"23060",3,3,1,2,2
"23066",1,1,1,0,0
"23073",1,1,0,1,0
"23087",15,15,0,15,15
"23092",2,2,0,2,1
"24008",1,1,0,1,0
"24014",2,2,1,1,1
"24017",1,1,1,0,0
"24029",1,1,1,0,0
"24030",1,1,1,0,0
"24057",1,1,1,0,0
"24060",1,1,1,0,0
"24070",1,1,1,0,0
"24089",20,20,5,15,11
"24115",3,3,1,2,1
"24142",1,1,0,1,1
"24154",1,1,1,0,0
"24169",2,2,0,2,0
"24170",3,3,2,1,0
"24172",1,1,1,0,0
"24202",1,1,0,1,1
"24209",3,3,0,3,1
"24223",1,1,0,1,1
"24224",1,1,1,0,0
"24901",1,1,0,1,0
"25040",4,4,0,4,4
"25059",1,1,0,1,0
"25071",2,2,0,2,1
"25120",13,13,5,8,6
"25200",20,20,0,20,0
"25203",1,1,0,1,1
"25217",1,1,0,1,1
"26026",1,1,0,1,0
"26071",1,1,0,1,1
"26089",19,19,2,17,15
"26100",1,1,0,1,1
"26102",3,3,1,2,0
"26153",1,1,0,1,1
"26168",1,1,0,1,0
"27012",1,1,1,0,0
"27014",1,1,0,1,0
"27028",16,16,1,15,9
"27031",4,4,1,3,3
"27045",1,1,1,0,0
"27057",1,1,1,0,0
"28005",11,11,2,9,5
"28006",12,12,0,12,9
"28007",6,6,0,6,2
"28010",1,1,0,1,0
"28013",7,7,0,7,7
"28014",1,1,0,1,0
"28035",1,1,0,1,0
"28044",1,1,1,0,0
"28045",1,1,0,1,0
"28049",3,3,0,3,2
"28054",1,1,0,1,1
"28058",1,1,1,0,0
"28065",31,31,4,27,22
"28074",17,17,8,9,5
"28079",1608,1607,221,1387,810
"28084",1,1,0,1,1
"28092",3,3,1,2,2
"28104",1,1,0,1,1
"28115",3,3,3,0,0
"28130",11,11,0,11,3
"28134",3,3,0,3,2
"28150",1,1,0,1,1
"28161",2,2,0,2,2
"28171",1,1,0,1,0
"29001",2,2,0,2,1
"29005",1,1,1,0,0
"29012",10,10,2,8,8
"29015",5,5,0,5,3
"29019",2,2,0,2,2
"29025",1,1,0,1,0
"29028",1,1,0,1,0
"29032",1,1,0,1,0
"29038",2,2,0,2,1
"29039",11,11,0,11,10
"29042",1,1,0,1,0
"29048",2,2,0,2,1
"29054",4,4,1,3,0
"29057",1,1,0,1,0
"29063",1,1,0,1,1
"29067",99,99,11,88,59
"29069",10,10,2,8,7
"29072",3,3,0,3,1
"29073",1,1,1,0,0
"29075",2,2,1,1,1
"29080",2,2,0,2,2
"29084",1,1,1,0,0
"29094",10,10,0,10,10
"30002",4,4,1,3,0
"30009",1,1,0,1,1
"30010",1,1,1,0,0
"30016",32,32,8,24,21
"30024",7,7,1,6,6
"30026",1,1,1,0,0
"30027",2,2,1,1,1
"30030",56,56,15,41,38
"30035",1,1,1,0,0
"30037",4,4,0,4,4
"30039",1,1,1,0,0
"30041",4,4,3,1,1
"30043",10,10,0,10,10
"31010",1,1,0,1,1
"31015",1,1,0,1,1
"31049",3,3,0,3,1
"31060",4,4,0,4,0
"31066",1,1,0,1,1
"31072",1,1,0,1,0
"31073",1,1,0,1,0
"31084",5,0,1,4,4
"31097",2,2,0,2,1
"31104",1,1,0,1,1
"31116",1,1,0,1,0
"31120",1,1,0,1,0
"31149",6,1,0,6,5
"31201",141,135,12,129,60
"31216",1,1,1,0,0
"31221",2,2,0,2,2
"31224",1,1,0,1,0
"31227",1,1,0,1,1
"31232",2,2,0,2,2
"31249",1,1,0,1,1
"31250",1,1,0,1,1
"31251",1,1,0,1,0
"31258",2,2,1,1,1
"31263",3,3,0,3,3
"31905",2,2,0,2,2
"31906",1,1,1,0,0
"31908",4,4,0,4,0
"32005",3,3,3,0,0
"32007",1,1,1,0,0
"32022",1,1,0,1,0
"32036",1,1,0,1,1
"32043",1,1,0,1,1
"32050",1,1,0,1,1
"32054",11,11,3,8,6
"32058",3,3,0,3,0
"32060",1,1,0,1,0
"32072",2,2,0,2,2
"32083",1,1,0,1,1
"32085",4,4,1,3,2
"33001",1,1,0,1,0
"33002",3,3,0,3,0
"33004",23,23,0,23,8
"33006",2,2,0,2,1
"33009",1,1,0,1,0
"33010",2,2,0,2,1
"33011",2,2,1,1,0
"33014",1,1,0,1,1
"33018",1,1,0,1,0
"33024",95,95,15,80,49
"33025",1,1,0,1,0
"33026",4,4,2,2,1
"33031",82,82,3,79,46
"33032",26,26,0,26,16
"33033",4,4,1,3,1
"33034",3,3,0,3,2
"33036",2,2,2,0,0
"33037",149,149,6,143,69
"33039",1,1,0,1,0
"33044",69,69,6,63,41
"33049",1,1,0,1,0
"33050",1,1,0,1,0
"33051",2,2,0,2,1
"33057",1,1,1,0,0
"33059",1,1,0,1,1
"33060",16,16,0,16,4
"33066",10,10,1,9,4
"33068",1,1,1,0,0
"33069",1,1,0,1,0
"34004",2,2,1,1,0
"34083",1,1,0,1,0
"34084",1,1,0,1,0
"34098",1,1,0,1,1
"34120",7,6,0,7,6
"34127",1,1,0,1,1
"34171",1,1,0,1,1
"35002",1,1,1,0,0
"35009",1,1,0,1,0
"35016",97,97,13,84,28
"35017",1,1,0,1,0
"35023",2,2,0,2,0
"35030",1,1,0,1,0
"36008",3,3,0,3,1
"36009",1,1,1,0,0
"36017",1,1,0,1,0
"36024",1,1,0,1,1
"36026",1,1,0,1,0
"36038",9,9,3,6,3
"36041",1,1,0,1,0
"36042",1,1,0,1,0
"36047",1,1,1,0,0
"36055",1,1,0,1,0
"36057",87,87,2,85,43
"36058",1,1,0,1,0
"36060",2,2,1,1,1
"36061",1,1,0,1,0
"37107",1,1,0,1,1
"37228",1,1,0,1,0
"37239",1,1,1,0,0
"37246",1,1,0,1,1
"37274",25,25,4,21,13
"37364",1,1,0,1,0
"38006",1,1,1,0,0
"38010",2,2,0,2,2
"38022",1,1,1,0,0
"38023",15,14,4,11,10
"38032",1,1,1,0,0
"38038",23,23,2,21,13
"38039",1,1,0,1,0
"38040",2,2,0,2,2
"38043",1,1,0,1,1
"38047",2,2,0,2,0
"39001",1,1,0,1,1
"39008",2,2,1,1,1
"39012",1,1,0,1,1
"39016",2,2,0,2,1
"39024",7,7,0,7,0
"39025",7,7,0,7,6
"39035",6,6,4,2,2
"39040",1,1,1,0,0
"39052",1,1,1,0,0
"39059",10,10,0,10,10
"39060",3,3,0,3,3
"39063",1,1,0,1,0
"39075",41,41,5,36,24
"39087",6,6,0,6,6
"39090",2,2,0,2,2
"39092",1,1,0,1,0
"40156",1,1,0,1,0
"40194",3,3,0,3,0
"41004",11,11,1,10,9
"41005",2,2,0,2,1
"41011",1,1,0,1,0
"41020",1,1,0,1,1
"41021",5,5,0,5,2
"41022",5,5,0,5,5
"41023",4,4,0,4,4
"41034",3,3,0,3,1
"41038",8,8,1,7,4
"41039",1,1,1,0,0
"41041",1,1,0,1,0
"41042",7,7,0,7,7
"41044",3,3,0,3,1
"41045",2,2,0,2,0
"41049",2,2,0,2,0
"41050",8,8,0,8,8
"41053",3,3,0,3,3
"41060",1,1,0,1,0
"41065",6,6,0,6,6
"41066",1,1,0,1,1
"41067",1,1,0,1,0
"41068",2,2,0,2,0
"41069",2,2,0,2,2
"41075",2,2,0,2,0
"41079",3,3,0,3,0
"41081",9,9,0,9,4
"41084",2,2,0,2,2
"41086",4,4,0,4,4
"41088",1,1,0,1,0
"41090",1,1,0,1,1
"41091",299,299,31,268,168
"41095",8,8,0,8,4
"41100",1,1,0,1,1
"41102",2,2,0,2,1
"42007",1,1,1,0,0
"42025",1,1,1,0,0
"42075",1,1,0,1,1
"42096",1,1,0,1,0
"42134",1,1,0,1,0
"42173",9,9,1,8,6
"43014",1,1,1,0,0
"43016",1,1,1,0,0
"43038",1,1,1,0,0
"43095",1,1,0,1,1
"43123",8,8,1,7,6
"43133",1,1,0,1,0
"43148",12,12,4,8,8
"43155",8,8,0,8,6
"43163",1,1,0,1,1
"44013",1,1,0,1,0
"44071",1,1,0,1,1
"44216",2,2,0,2,1
"45013",1,1,0,1,0
"45025",1,1,1,0,0
"45107",1,1,1,0,0
"45121",1,1,1,0,0
"45136",1,1,0,1,1
"45142",1,1,0,1,0
"45158",1,1,0,1,1
"45161",1,1,0,1,0
"45165",3,3,0,3,3
"45168",5,5,0,5,0
"45188",1,1,0,1,0
"45202",2,2,2,0,0
"45205",1,1,1,0,0
"46005",3,3,0,3,2
"46011",3,3,1,2,2
"46013",2,2,0,2,0
"46017",1,1,0,1,1
"46019",1,1,0,1,1
"46020",1,1,0,1,0
"46021",3,3,0,3,3
"46022",1,1,0,1,1
"46029",1,1,0,1,0
"46032",3,3,0,3,2
"46042",1,1,0,1,1
"46044",1,1,0,1,1
"46054",2,2,1,1,1
"46072",2,2,0,2,2
"46077",4,4,0,4,4
"46078",5,5,0,5,0
"46085",2,2,1,1,1
"46102",6,6,0,6,6
"46105",2,2,2,0,0
"46107",1,1,0,1,0
"46110",5,5,0,5,4
"46122",9,9,6,3,3
"46130",1,1,1,0,0
"46131",3,3,0,3,2
"46135",1,1,0,1,1
"46145",6,6,1,5,3
"46159",1,1,0,1,0
"46161",1,1,1,0,0
"46163",1,1,0,1,0
"46164",1,1,0,1,0
"46165",1,1,0,1,1
"46166",5,5,0,5,4
"46169",4,4,0,4,2
"46184",3,3,0,3,3
"46190",1,1,0,1,1
"46194",4,4,0,4,3
"46205",1,1,0,1,0
"46213",2,2,1,1,1
"46215",1,1,0,1,1
"46216",1,1,0,1,0
"46220",20,20,2,18,18
"46238",1,1,0,1,1
"46244",4,4,0,4,0
"46250",180,180,40,140,94
"46251",1,1,0,1,0
"46254",2,2,0,2,0
"47027",1,1,0,1,0
"47085",1,1,0,1,0
"47186",65,65,4,61,45
"48001",5,3,0,5,3
"48002",6,6,1,5,2
"48003",14,12,1,13,11
"48004",1,1,0,1,1
"48011",5,3,0,5,4
"48012",1,1,0,1,0
"48013",64,52,3,61,46
"48015",47,32,3,44,26
"48016",4,1,0,4,4
"48017",17,9,1,16,9
"48020",309,227,22,287,205
"48021",2,2,0,2,1
"48024",2,2,0,2,2
"48025",2,2,1,1,1
"48026",1,0,0,1,1
"48027",21,13,1,20,18
"48029",1,1,0,1,0
"48032",6,4,0,6,2
"48034",3,3,0,3,2
"48036",5,3,0,5,4
"48037",3,1,0,3,3
"48044",57,38,3,54,42
"48045",1,1,0,1,1
"48046",35,23,8,27,22
"48050",1,1,0,1,1
"48052",2,2,0,2,2
"48054",9,6,0,9,8
"48056",1,1,0,1,1
"48057",10,8,0,10,10
"48058",1,1,0,1,0
"48060",1,0,0,1,1
"48064",1,1,0,1,1
"48065",3,2,2,1,1
"48067",6,6,2,4,4
"48068",4,4,0,4,2
"48069",1,1,0,1,1
"48071",5,5,0,5,3
"48072",3,1,0,3,2
"48073",48,31,3,45,31
"48077",2,1,1,1,1
"48078",32,28,1,31,24
"48080",17,15,1,16,11
"48082",35,26,3,32,23
"48083",11,11,0,11,8
"48084",49,38,2,47,37
"48086",2,1,0,2,2
"48090",14,7,0,14,13
"48092",1,1,0,1,1
"48094",5,3,0,5,4
"48097",1,1,0,1,1
"49021",1,1,1,0,0
"49086",1,1,1,0,0
"49247",1,1,1,0,0
"49275",6,6,1,5,4
"50008",1,1,0,1,0
"50025",1,1,1,0,0
"50038",1,1,0,1,1
"50060",1,1,0,1,1
"50074",2,2,0,2,1
"50081",1,1,1,0,0
"50095",2,2,0,2,1
"50099",1,1,1,0,0
"50171",1,1,1,0,0
"50205",1,1,0,1,1
"50227",1,1,0,1,1
"50231",1,1,0,1,0
"50269",1,1,0,1,1
"50272",2,2,0,2,1
"50297",159,159,14,145,107
"51001",10,10,1,9,3
"52001",7,7,0,7,1
